MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.4281271000,-122.0778977000,-30.27302970142898,6.239217,0.1,269.76276,1593045292440,,,,
Fix,GT,37.4281268000,-122.0779625000,-30.366076627734856,5.5839615,0.1,269.39487,1593045293440,,,,
Fix,GT,37.4281200000,-122.0780258000,-30.540305668494057,5.897669,0.1,259.2637,1593045294440,,,,
Fix,GT,37.4280949000,-122.0780888000,-30.588030234592452,6.4810405,0.1,239.11497,1593045295440,,,,
Fix,GT,37.4280491000,-122.0781422000,-30.575657714523004,7.4553022,0.1,217.72554,1593045296440,,,,
Fix,GT,37.4279828000,-122.0781797000,-30.65225866452306,8.70939,0.1,199.39444,1593045297440,,,,
Fix,GT,37.4278979000,-122.0781997000,-30.708123963057574,10.431437,0.1,186.7616,1593045298440,,,,
Fix,GT,37.4277968000,-122.0782038000,-30.762534122183183,11.969191,0.1,180.17145,1593045299440,,,,
Fix,GT,37.4276819000,-122.0782003000,-30.785172040150826,13.429582,0.1,177.7715,1593045300440,,,,
Fix,GT,37.4275560000,-122.0781911000,-30.781018745400786,14.477416,0.1,175.95543,1593045301440,,,,
Fix,GT,37.4274235000,-122.0781763000,-30.702754375403003,15.00316,0.1,174.0138,1593045302440,,,,
Fix,GT,37.4272872000,-122.0781558000,-30.64980125427246,15.430672,0.1,172.83195,1593045303440,,,,
Fix,GT,37.4271463000,-122.0781345000,-30.611344336531317,16.159,0.1,173.67204,1593045304440,,,,
Fix,GT,37.4269977000,-122.0781161000,-30.574342983366932,17.002367,0.1,174.91878,1593045305440,,,,
Fix,GT,37.4268418000,-122.0781009000,-30.521570833552857,17.674217,0.1,176.19408,1593045306440,,,,
Fix,GT,37.4266806000,-122.0780904000,-30.438886853682334,18.133392,0.1,177.7639,1593045307440,,,,
Fix,GT,37.4265157000,-122.0780854000,-30.40639191700484,18.485292,0.1,179.26445,1593045308440,,,,
Fix,GT,37.4263480000,-122.0780845000,-30.34270634814493,18.75696,0.1,180.1911,1593045309440,,,,
Fix,GT,37.4261774000,-122.0780874000,-30.29506781213047,19.13512,0.1,181.3261,1593045310440,,,,
Fix,GT,37.4260036000,-122.0780948000,-30.238114088520945,19.45554,0.1,182.5121,1593045311440,,,,
Fix,GT,37.4258284000,-122.0781067000,-30.15834353539003,19.395666,0.1,183.61147,1593045312440,,,,
Fix,GT,37.4256565000,-122.0781211000,-30.092344448795586,18.706284,0.1,183.9891,1593045313440,,,,
Fix,GT,37.4254959000,-122.0781337000,-30.04321020899806,16.840628,0.1,183.20909,1593045314440,,,,
Fix,GT,37.4253553000,-122.0781420000,-29.974210857937805,14.336441,0.1,182.30411,1593045315440,,,,
Fix,GT,37.4252377000,-122.0781475000,-29.92934344848686,11.712734,0.1,182.12906,1593045316440,,,,
Fix,GT,37.4251441000,-122.0781514000,-29.89739114047461,9.103987,0.1,181.72726,1593045317440,,,,
Fix,GT,37.4250731000,-122.0781534000,-29.86857187215844,6.904603,0.1,181.10953,1593045318440,,,,
Fix,GT,37.4250192000,-122.0781540000,-29.86739158053865,4.944125,0.1,180.41444,1593045319440,,,,
Fix,GT,37.4249842000,-122.0781538000,-29.861211001204083,2.8325589,0.1,179.82713,1593045320440,,,,
Fix,GT,37.4249653000,-122.0781537000,-29.87139040076056,1.5079119,0.1,179.58966,1593045321440,,,,
Fix,GT,37.4249562000,-122.0781536000,-29.868210970329073,0.49357003,0.1,179.53308,1593045322440,,,,
Fix,GT,37.4249548000,-122.0781536000,-29.874800745403718,0.01496939,0.1,179.52806,1593045323440,,,,
Fix,GT,37.4249548000,-122.0781536000,-29.874801635742188,0.0021393914,0.1,179.52814,1593045324440,,,,
Fix,GT,37.4249548000,-122.0781536000,-29.874801635742188,0.001,0.1,179.52629,1593045325440,,,,
Fix,GT,37.4249548000,-122.0781536000,-29.874801635742188,0.00081905694,0.1,179.52669,1593045326440,,,,
Fix,GT,37.4249548000,-122.0781536000,-29.874802526080657,0.0033503103,0.1,179.52757,1593045327440,,,,
Fix,GT,37.4249547000,-122.0781536000,-29.875619351933892,0.05349255,0.1,179.53075,1593045328440,,,,
Fix,GT,37.4249522000,-122.0781536000,-29.873799387401334,0.2743243,0.1,179.51057,1593045329440,,,,
Fix,GT,37.4249510000,-122.0781535000,-29.872800827026367,0.029512774,0.1,179.50612,1593045330440,,,,
Fix,GT,37.4249504000,-122.0781535000,-29.873799387401334,0.11809787,0.1,179.50336,1593045331440,,,,
Fix,GT,37.4249494000,-122.0781535000,-29.87180048609372,0.0301915,0.1,179.49023,1593045332440,,,,
Fix,GT,37.4249483000,-122.0781534000,-29.873210129546806,0.3006199,0.1,179.48335,1593045333440,,,,
Fix,GT,37.4249425000,-122.0781534000,-29.87139129277034,1.0091833,0.1,179.35555,1593045334440,,,,
Fix,GT,37.4249265000,-122.0781523000,-29.85298234138088,2.702723,0.1,177.99344,1593045335440,,,,
Fix,GT,37.4248936000,-122.0781503000,-29.834752565942438,4.5588617,0.1,177.38153,1593045336440,,,,
Fix,GT,37.4248428000,-122.0781481000,-29.828572871669394,7.010269,0.1,178.22865,1593045337440,,,,
Fix,GT,37.4247681000,-122.0781466000,-29.799980830967684,9.473523,0.1,179.30936,1593045338440,,,,
Fix,GT,37.4246751000,-122.0781455000,-29.768438936868847,10.998598,0.1,179.31378,1593045339440,,,,
Fix,GT,37.4245689000,-122.0781424000,-29.74057162062752,12.480372,0.1,178.35039,1593045340440,,,,
Fix,GT,37.4244521000,-122.0781361000,-29.704162135424554,13.3856945,0.1,177.21953,1593045341440,,,,
Fix,GT,37.4243286000,-122.0781275000,-29.626753273682425,14.031824,0.1,176.62665,1593045342440,,,,
Fix,GT,37.4242012000,-122.0781161000,-29.593934200690796,14.212734,0.1,175.44182,1593045343440,,,,
Fix,GT,37.4240747000,-122.0781022000,-29.567723771566705,13.961636,0.1,174.91504,1593045344440,,,,
Fix,GT,37.4239519000,-122.0780888000,-29.501666071976558,13.344049,0.1,175.20605,1593045345440,,,,
Fix,GT,37.4238353000,-122.0780772000,-29.481886404929355,12.523113,0.1,175.86018,1593045346440,,,,
Fix,GT,37.4237280000,-122.0780680000,-29.45166771300569,11.288543,0.1,176.3931,1593045347440,,,,
Fix,GT,37.4236349000,-122.0780623000,-29.416162917133306,9.427305,0.1,178.67163,1593045348440,,,,
Fix,GT,37.4235563000,-122.0780689000,-29.440982565131776,8.204828,0.1,187.26682,1593045349440,,,,
Fix,GT,37.4234899000,-122.0780977000,-29.496848635000333,7.7115326,0.1,205.76518,1593045350440,,,,
Fix,GT,37.4234423000,-122.0781576000,-29.53084736984823,7.6268115,0.1,232.85944,1593045351440,,,,
Fix,GT,37.4234201000,-122.0782410000,-29.586162995334462,8.322248,0.1,257.60983,1593045352440,,,,
Fix,GT,37.4234152000,-122.0783428000,-29.52793422542669,9.903414,0.1,268.24588,1593045353440,,,,
Fix,GT,37.4234126000,-122.0784646000,-29.443477886263565,11.661164,0.1,268.49725,1593045354440,,,,
Fix,GT,37.4234085000,-122.0786058000,-29.35747569181126,13.340171,0.1,267.77142,1593045355440,,,,
Fix,GT,37.4234030000,-122.0787658000,-29.236525531229404,14.985729,0.1,267.48016,1593045356440,,,,
Fix,GT,37.4233959000,-122.0789427000,-29.10011654714566,16.230398,0.1,267.19165,1593045357440,,,,
Fix,GT,37.4233884000,-122.0791314000,-28.93547759039211,17.134056,0.1,267.058,1593045358440,,,,
Fix,GT,37.4233799000,-122.0793284000,-28.803067462322304,17.768074,0.1,266.79077,1593045359440,,,,
Fix,GT,37.4233693000,-122.0795307000,-28.65302032229124,18.035334,0.1,265.88104,1593045360440,,,,
Fix,GT,37.4233557000,-122.0797349000,-28.503705709423002,18.274305,0.1,264.8132,1593045361440,,,,
Fix,GT,37.4233391000,-122.0799423000,-28.366294526321155,18.569508,0.1,263.97464,1593045362440,,,,
Fix,GT,37.4233205000,-122.0801500000,-28.288078290137037,18.37215,0.1,263.42972,1593045363440,,,,
Fix,GT,37.4233010000,-122.0803544000,-28.18456419741284,18.033857,0.1,263.03235,1593045364440,,,,
Fix,GT,37.4232800000,-122.0805544000,-28.20176333945392,17.708761,0.1,262.37277,1593045365440,,,,
Fix,GT,37.4232617000,-122.0807512000,-28.29953452483096,17.37031,0.1,263.98657,1593045366440,,,,
Fix,GT,37.4232471000,-122.0809448000,-28.38581060919705,17.057663,0.1,264.90973,1593045367440,,,,
Fix,GT,37.4232329000,-122.0811351000,-28.51512398426712,16.789799,0.1,264.47983,1593045368440,,,,
Fix,GT,37.4232178000,-122.0813225000,-28.65648592454511,16.545948,0.1,264.09094,1593045369440,,,,
Fix,GT,37.4232018000,-122.0815070000,-28.78899082660348,16.312616,0.1,263.70847,1593045370440,,,,
Fix,GT,37.4231863000,-122.0816889000,-28.941124580909673,16.073177,0.1,264.17902,1593045371440,,,,
Fix,GT,37.4231716000,-122.0818682000,-29.06176204448343,15.8393955,0.1,263.82394,1593045372440,,,,
Fix,GT,37.4231552000,-122.0820448000,-29.198221057373814,15.607918,0.1,263.16086,1593045373440,,,,
Fix,GT,37.4231384000,-122.0822193000,-29.326897811828758,15.599786,0.1,263.30756,1593045374440,,,,
Fix,GT,37.4231224000,-122.0823940000,-29.439895901237605,15.5029335,0.1,263.78653,1593045375440,,,,
Fix,GT,37.4231092000,-122.0825671000,-29.565306083100495,15.284491,0.1,265.3539,1593045376440,,,,
Fix,GT,37.4231001000,-122.0827379000,-29.69171385047565,15.0174885,0.1,266.7867,1593045377440,,,,
Fix,GT,37.4230936000,-122.0829058000,-29.781259218270293,14.748017,0.1,267.6562,1593045378440,,,,
Fix,GT,37.4230898000,-122.0830707000,-29.843849645382306,14.456097,0.1,269.1224,1593045379440,,,,
Fix,GT,37.4230891000,-122.0832328000,-29.8880303406213,14.367435,0.1,269.94577,1593045380440,,,,
Fix,GT,37.4230893000,-122.0833975000,-29.928075951202572,14.804131,0.1,270.37692,1593045381440,,,,
Fix,GT,37.4230914000,-122.0835679000,-29.98161911851463,15.452612,0.1,271.42392,1593045382440,,,,
Fix,GT,37.4230974000,-122.0837463000,-29.955934599261127,16.116333,0.1,273.2222,1593045383440,,,,
Fix,GT,37.4231074000,-122.0839311000,-29.889980982541374,16.707531,0.1,274.3268,1593045384440,,,,
Fix,GT,37.4231199000,-122.0841234000,-29.860028683743394,17.468119,0.1,275.23465,1593045385440,,,,
Fix,GT,37.4231364000,-122.0843231000,-29.80357212851004,18.04251,0.1,276.52597,1593045386440,,,,
Fix,GT,37.4231565000,-122.0845272000,-29.741343744246933,18.3423,0.1,277.51587,1593045387440,,,,
Fix,GT,37.4231793000,-122.0847336000,-29.675933023320283,18.544178,0.1,278.15152,1593045388440,,,,
Fix,GT,37.4232040000,-122.0849416000,-29.47633389369912,18.66103,0.1,278.90213,1593045389440,,,,
Fix,GT,37.4232315000,-122.0851492000,-29.085686626018287,18.575827,0.1,279.93237,1593045390440,,,,
Fix,GT,37.4232608000,-122.0853543000,-28.4495420470343,18.252922,0.1,280.40985,1593045391440,,,,
Fix,GT,37.4232907000,-122.0855544000,-27.757181409031773,17.835743,0.1,281.08633,1593045392440,,,,
Fix,GT,37.4233246000,-122.0857507000,-27.088590402068462,17.740692,0.1,283.24783,1593045393440,,,,
Fix,GT,37.4233626000,-122.0859444000,-26.549961902142172,17.576393,0.1,284.22577,1593045394440,,,,
Fix,GT,37.4234016000,-122.0861359000,-26.217201425792837,17.429028,0.1,284.50195,1593045395440,,,,
Fix,GT,37.4234410000,-122.0863262000,-25.99911470020379,17.422556,0.1,284.7346,1593045396440,,,,
Fix,GT,37.4234812000,-122.0865177000,-25.95952499341297,17.641628,0.1,284.7608,1593045397440,,,,
Fix,GT,37.4235218000,-122.0867118000,-26.0565336915638,17.88694,0.1,284.7003,1593045398440,,,,
Fix,GT,37.4235627000,-122.0869087000,-26.23036234227243,18.153252,0.1,284.58514,1593045399440,,,,
Fix,GT,37.4236039000,-122.0871092000,-26.65904923565205,18.503162,0.1,284.48816,1593045400440,,,,
Fix,GT,37.4236459000,-122.0873138000,-27.201468535037634,18.90208,0.1,284.4589,1593045401440,,,,
Fix,GT,37.4236888000,-122.0875230000,-27.900694772933832,19.345953,0.1,284.44678,1593045402440,,,,
Fix,GT,37.4237325000,-122.0877368000,-28.617514887818174,19.685331,0.1,284.49472,1593045403440,,,,
Fix,GT,37.4237771000,-122.0879523000,-29.255782251497067,19.712135,0.1,284.6226,1593045404440,,,,
Fix,GT,37.4238212000,-122.0881674000,-29.62126799656056,19.540812,0.1,284.09802,1593045405440,,,,
Fix,GT,37.4238627000,-122.0883803000,-29.859030132846442,19.231714,0.1,283.56918,1593045406440,,,,
Fix,GT,37.4239019000,-122.0885883000,-29.91680145263672,18.513721,0.1,283.17407,1593045407440,,,,
Fix,GT,37.4239388000,-122.0887870000,-29.96107782269064,17.600727,0.1,282.8379,1593045408440,,,,
Fix,GT,37.4239696000,-122.0889752000,-30.016981892913122,16.335455,0.1,280.23605,1593045409440,,,,
Fix,GT,37.4239885000,-122.0891503000,-30.079668001194023,14.926247,0.1,275.65228,1593045410440,,,,
Fix,GT,37.4239942000,-122.0893105000,-30.12225796428652,13.364429,0.1,270.57388,1593045411440,,,,
Fix,GT,37.4239917000,-122.0894524000,-30.14639079042297,11.731931,0.1,267.26382,1593045412440,,,,
Fix,GT,37.4239821000,-122.0895787000,-30.114115566442024,10.957614,0.1,262.82565,1593045413440,,,,
Fix,GT,37.4239631000,-122.0896972000,-30.00765717740029,10.360423,0.1,256.44257,1593045414440,,,,
Fix,GT,37.4239381000,-122.0898053000,-29.88334391328317,9.451487,0.1,253.6596,1593045415440,,,,
Fix,GT,37.4239193000,-122.0899011000,-29.768754335289714,8.080986,0.1,259.65463,1593045416440,,,,
Fix,GT,37.4239209000,-122.0899864000,-29.674611131621475,7.278716,0.1,276.92386,1593045417440,,,,
Fix,GT,37.4239461000,-122.0900579000,-29.437247932425635,6.8484073,0.1,300.01602,1593045418440,,,,
Fix,GT,37.4239923000,-122.0901113000,-29.34498265960218,7.456052,0.1,322.21893,1593045419440,,,,
Fix,GT,37.4240537000,-122.0901590000,-29.300753032337298,8.604242,0.1,328.5039,1593045420440,,,,
Fix,GT,37.4241240000,-122.0902147000,-29.283114180403118,9.918659,0.1,327.2613,1593045421440,,,,
Fix,GT,37.4242030000,-122.0902837000,-29.229343450932333,11.393219,0.1,323.96332,1593045422440,,,,
Fix,GT,37.4242870000,-122.0903680000,-29.173572167498605,12.416592,0.1,319.95993,1593045423440,,,,
Fix,GT,37.4243721000,-122.0904658000,-29.12616197371301,13.2105255,0.1,315.59625,1593045424440,,,,
Fix,GT,37.4244541000,-122.0905793000,-29.133619672625173,13.814812,0.1,310.1222,1593045425440,,,,
Fix,GT,37.4245305000,-122.0907055000,-29.169933342497416,14.168071,0.1,305.14243,1593045426440,,,,
Fix,GT,37.4245987000,-122.0908406000,-29.201848596265336,14.1612015,0.1,300.1907,1593045427440,,,,
Fix,GT,37.4246573000,-122.0909844000,-29.245668389935418,14.3922,0.1,294.66147,1593045428440,,,,
Fix,GT,37.4247052000,-122.0911366000,-29.289666236008316,14.479605,0.1,289.4978,1593045429440,,,,
Fix,GT,37.4247434000,-122.0912918000,-29.3253917591677,14.235022,0.1,285.67267,1593045430440,,,,
Fix,GT,37.4247760000,-122.0914459000,-29.271753695377583,13.940707,0.1,284.32123,1593045431440,,,,
Fix,GT,37.4248062000,-122.0915969000,-29.264981857450948,13.69867,0.1,284.17737,1593045432440,,,,
Fix,GT,37.4248374000,-122.0917484000,-29.189934662972803,14.089697,0.1,284.65955,1593045433440,,,,
Fix,GT,37.4248718000,-122.0919052000,-29.147752275391838,14.700329,0.1,286.09528,1593045434440,,,,
Fix,GT,37.4249120000,-122.0920665000,-29.16294486536168,15.214214,0.1,288.2572,1593045435440,,,,
Fix,GT,37.4249575000,-122.0922297000,-29.233305608894796,15.277029,0.1,290.08493,1593045436440,,,,
Fix,GT,37.4250073000,-122.0923898000,-29.260523878749325,15.159014,0.1,292.2835,1593045437440,,,,
Fix,GT,37.4250616000,-122.0925463000,-29.32043877584624,15.036661,0.1,294.48938,1593045438440,,,,
Fix,GT,37.4251196000,-122.0926987000,-29.354802052819764,14.899433,0.1,296.4057,1593045439440,,,,
Fix,GT,37.4251808000,-122.0928478000,-29.31911545098444,14.815787,0.1,297.96814,1593045440440,,,,
Fix,GT,37.4252461000,-122.0929939000,-29.241390997367034,14.894308,0.1,300.26678,1593045441440,,,,
Fix,GT,37.4253167000,-122.0931387000,-29.18116226768393,15.145366,0.1,302.5441,1593045442440,,,,
Fix,GT,37.4253929000,-122.0932797000,-29.227257539069797,14.983459,0.1,305.26096,1593045443440,,,,
Fix,GT,37.4254715000,-122.0934157000,-29.280448531499133,14.733244,0.1,306.39194,1593045444440,,,,
Fix,GT,37.4255504000,-122.0935474000,-29.318848409874818,14.4261675,0.1,307.7478,1593045445440,,,,
Fix,GT,37.4256320000,-122.0936730000,-29.376211273676745,14.261004,0.1,310.1129,1593045446440,,,,
Fix,GT,37.4257147000,-122.0937935000,-29.371525672566634,13.750773,0.1,311.09125,1593045447440,,,,
Fix,GT,37.4257947000,-122.0939067000,-29.317344769256692,13.094206,0.1,312.1968,1593045448440,,,,
Fix,GT,37.4258746000,-122.0940130000,-29.283523450885923,12.865049,0.1,314.0706,1593045449440,,,,
Fix,GT,37.4259580000,-122.0941166000,-29.222572811489897,13.310231,0.1,316.23083,1593045450440,,,,
Fix,GT,37.4260487000,-122.0942200000,-29.187210096890112,13.877566,0.1,318.99988,1593045451440,,,,
Fix,GT,37.4261470000,-122.0943215000,-29.217485719294928,14.43671,0.1,321.43536,1593045452440,,,,
Fix,GT,37.4262516000,-122.0944226000,-29.281304851033667,14.832918,0.1,322.91635,1593045453440,,,,
Fix,GT,37.4263596000,-122.0945237000,-29.33284835718291,15.008993,0.1,323.64093,1593045454440,,,,
Fix,GT,37.4264690000,-122.0946234000,-29.39166920615537,15.094103,0.1,324.4073,1593045455440,,,,
Fix,GT,37.4265824000,-122.0947188000,-29.36338986032638,15.123735,0.1,327.92795,1593045456440,,,,
Fix,GT,37.4266985000,-122.0948028000,-29.315752299422115,14.538664,0.1,331.37387,1593045457440,,,,
Fix,GT,37.4268107000,-122.0948760000,-29.255704387885544,13.637823,0.1,333.2062,1593045458440,,,,
Fix,GT,37.4269187000,-122.0949439000,-29.217981219230865,13.123762,0.1,333.28284,1593045459440,,,,
Fix,GT,37.4270199000,-122.0950109000,-29.206030281562334,12.193264,0.1,331.05463,1593045460440,,,,
Fix,GT,37.4271128000,-122.0950807000,-29.22302882818417,11.922644,0.1,327.83063,1593045461440,,,,
Fix,GT,37.4272032000,-122.0951566000,-29.27766801299549,12.343977,0.1,325.1167,1593045462440,,,,
Fix,GT,37.4272951000,-122.0952435000,-29.305391296688867,13.173033,0.1,321.62805,1593045463440,,,,
Fix,GT,37.4273867000,-122.0953424000,-29.33548662876717,13.591091,0.1,317.56107,1593045464440,,,,
Fix,GT,37.4274741000,-122.0954527000,-29.356800079345703,13.905958,0.1,312.89136,1593045465440,,,,
Fix,GT,37.4275548000,-122.0955721000,-29.343753049749466,13.747535,0.1,308.46814,1593045466440,,,,
Fix,GT,37.4276271000,-122.0956964000,-29.285704290120066,13.442385,0.1,304.5661,1593045467440,,,,
Fix,GT,37.4276920000,-122.0958230000,-29.245028967792507,13.273055,0.1,301.10568,1593045468440,,,,
Fix,GT,37.4277493000,-122.0959561000,-29.204752241099072,13.437607,0.1,296.31,1593045469440,,,,
Fix,GT,37.4277984000,-122.0960946000,-29.191800201183526,13.378311,0.1,292.30756,1593045470440,,,,
Fix,GT,37.4278400000,-122.0962379000,-29.243847566576562,13.687437,0.1,288.18564,1593045471440,,,,
Fix,GT,37.4278734000,-122.0963880000,-29.32466698815324,13.79907,0.1,283.79465,1593045472440,,,,
Fix,GT,37.4278982000,-122.0965397000,-29.357078671032923,13.595432,0.1,279.86853,1593045473440,,,,
Fix,GT,37.4279140000,-122.0966924000,-29.414571278125834,13.656803,0.1,275.53156,1593045474440,,,,
Fix,GT,37.4279207000,-122.0968456000,-29.471257280230475,13.459869,0.1,271.3539,1593045475440,,,,
Fix,GT,37.4279186000,-122.0969962000,-29.52021116014214,13.1799755,0.1,267.41293,1593045476440,,,,
Fix,GT,37.4279079000,-122.0971432000,-29.590124913032923,12.971069,0.1,262.77133,1593045477440,,,,
Fix,GT,37.4278889000,-122.0972806000,-29.63175404433565,11.470141,0.1,258.9093,1593045478440,,,,
Fix,GT,37.4278688000,-122.0973987000,-29.645877039797142,10.1189,0.1,257.43408,1593045479440,,,,
Fix,GT,37.4278501000,-122.0975031000,-29.59091446755707,8.74818,0.1,257.51715,1593045480440,,,,
Fix,GT,37.4278346000,-122.0975947000,-29.676304508026078,8.05483,0.1,258.10696,1593045481440,,,,
Fix,GT,37.4278193000,-122.0976831000,-29.738172152319294,7.9405346,0.1,257.4522,1593045482440,,,,
Fix,GT,37.4278034000,-122.0977704000,-29.74798254048727,7.957164,0.1,256.94464,1593045483440,,,,
Fix,GT,37.4277871000,-122.0978592000,-29.769849511988355,8.257026,0.1,256.97495,1593045484440,,,,
Fix,GT,37.4277699000,-122.0979530000,-29.79180145263672,8.753017,0.1,257.22897,1593045485440,,,,
Fix,GT,37.4277529000,-122.0980523000,-29.731849401660554,9.246213,0.1,258.98096,1593045486440,,,,
Fix,GT,37.4277383000,-122.0981583000,-29.774077595235894,9.824387,0.1,260.17804,1593045487440,,,,
Fix,GT,37.4277216000,-122.0982724000,-29.82016309576528,10.760699,0.1,259.27615,1593045488440,,,,
Fix,GT,37.4277027000,-122.0983959000,-29.78916295846591,11.452482,0.1,259.06882,1593045489440,,,,
Fix,GT,37.4276820000,-122.0985255000,-29.768619905796186,11.860704,0.1,258.48114,1593045490440,,,,
Fix,GT,37.4276601000,-122.0986574000,-29.795437488384266,11.904722,0.1,258.09238,1593045491440,,,,
Fix,GT,37.4276384000,-122.0987853000,-29.835029981094408,11.1280155,0.1,258.00793,1593045492440,,,,
Fix,GT,37.4276178000,-122.0989027000,-29.869030486379756,10.085723,0.1,257.389,1593045493440,,,,
Fix,GT,37.4275994000,-122.0990052000,-29.89584884726196,8.505272,0.1,257.29483,1593045494440,,,,
Fix,GT,37.4275831000,-122.0990927000,-29.912847372642148,7.357954,0.1,256.90884,1593045495440,,,,
Fix,GT,37.4275699000,-122.0991624000,-29.9259822810551,5.12362,0.1,256.87234,1593045496440,,,,
Fix,GT,37.4275619000,-122.0992064000,-29.938620872340266,3.255887,0.1,257.37323,1593045497440,,,,
Fix,GT,37.4275560000,-122.0992384000,-29.956848887727006,2.7427995,0.1,257.6751,1593045498440,,,,
Fix,GT,37.4275507000,-122.0992701000,-29.99643769220262,3.0158439,0.1,258.5672,1593045499440,,,,
Fix,GT,37.4275478000,-122.0993069000,-30.04384788515307,3.6737432,0.1,265.30826,1593045500440,,,,
Fix,GT,37.4275548000,-122.0993526000,-30.14071447123149,4.7079945,0.1,282.14084,1593045501440,,,,
